business_id,year,stars,review_count
-01XupAWZEXbdNbxNg5mEg,2009,3.3333333333333335,6
-01XupAWZEXbdNbxNg5mEg,2010,3.25,4
-01XupAWZEXbdNbxNg5mEg,2011,3.5714285714285716,7
-01XupAWZEXbdNbxNg5mEg,2012,2.1666666666666665,6
-01XupAWZEXbdNbxNg5mEg,2013,2.4444444444444446,9
-01XupAWZEXbdNbxNg5mEg,2014,2.6666666666666665,9
-01XupAWZEXbdNbxNg5mEg,2015,3.6153846153846154,13
-01XupAWZEXbdNbxNg5mEg,2016,2.230769230769231,13
-01XupAWZEXbdNbxNg5mEg,2017,2.6363636363636362,11
-01XupAWZEXbdNbxNg5mEg,2018,3.76,25
-050d_XIor1NpCuWkbIVaQ,2006,4.166666666666667,6
-050d_XIor1NpCuWkbIVaQ,2007,4.3076923076923075,26
-050d_XIor1NpCuWkbIVaQ,2008,3.740740740740741,54
-050d_XIor1NpCuWkbIVaQ,2009,4.092436974789916,119
-050d_XIor1NpCuWkbIVaQ,2010,4.030487804878049,164
-050d_XIor1NpCuWkbIVaQ,2011,4.0,162
-050d_XIor1NpCuWkbIVaQ,2012,4.013698630136986,146
-050d_XIor1NpCuWkbIVaQ,2013,3.6511627906976742,43
-050d_XIor1NpCuWkbIVaQ,2014,5.0,3
-050d_XIor1NpCuWkbIVaQ,2016,3.0,1
-050d_XIor1NpCuWkbIVaQ,2017,1.0,1
-092wE7j5HZOogMLAh40zA,2009,4.333333333333333,3
-092wE7j5HZOogMLAh40zA,2010,4.4,5
-092wE7j5HZOogMLAh40zA,2011,3.7857142857142856,14
-092wE7j5HZOogMLAh40zA,2012,3.090909090909091,11
-092wE7j5HZOogMLAh40zA,2013,3.7,10
-092wE7j5HZOogMLAh40zA,2014,2.388888888888889,18
-092wE7j5HZOogMLAh40zA,2015,3.111111111111111,9
-092wE7j5HZOogMLAh40zA,2016,3.1538461538461537,13
-092wE7j5HZOogMLAh40zA,2017,4.75,8
-092wE7j5HZOogMLAh40zA,2018,2.142857142857143,7
-0Sgh0QlUKVsWosCWJzGqQ,2010,2.5,2
-0Sgh0QlUKVsWosCWJzGqQ,2012,1.0,1
-0Sgh0QlUKVsWosCWJzGqQ,2013,3.5,4
-0Sgh0QlUKVsWosCWJzGqQ,2014,3.0,2
-0Sgh0QlUKVsWosCWJzGqQ,2015,2.4,10
-0Sgh0QlUKVsWosCWJzGqQ,2016,1.6363636363636365,11
-0Sgh0QlUKVsWosCWJzGqQ,2017,1.5555555555555556,18
-0Sgh0QlUKVsWosCWJzGqQ,2018,1.0,1
-0WegMt6Cy966qlDKhu6jA,2013,2.3157894736842106,19
-0WegMt6Cy966qlDKhu6jA,2014,2.5384615384615383,13
-0WegMt6Cy966qlDKhu6jA,2015,2.066666666666667,15
-0WegMt6Cy966qlDKhu6jA,2016,2.0588235294117645,17
-0WegMt6Cy966qlDKhu6jA,2017,1.7333333333333334,15
-0WegMt6Cy966qlDKhu6jA,2018,1.6956521739130435,23
-0aIra_B6iALlfqAriBSYA,2015,5.0,7
-0aIra_B6iALlfqAriBSYA,2016,5.0,11
-0aIra_B6iALlfqAriBSYA,2017,4.142857142857143,14
-0aIra_B6iALlfqAriBSYA,2018,5.0,1
-0tgMGl7D9B10YjSN2ujLA,2006,4.0,1
-0tgMGl7D9B10YjSN2ujLA,2007,4.5,2
-0tgMGl7D9B10YjSN2ujLA,2008,3.5,4
-0tgMGl7D9B10YjSN2ujLA,2009,5.0,1
-0tgMGl7D9B10YjSN2ujLA,2010,3.7,10
-0tgMGl7D9B10YjSN2ujLA,2011,3.090909090909091,11
-0tgMGl7D9B10YjSN2ujLA,2012,3.6875,16
-0tgMGl7D9B10YjSN2ujLA,2013,3.625,8
-0tgMGl7D9B10YjSN2ujLA,2014,3.4210526315789473,19
-0tgMGl7D9B10YjSN2ujLA,2015,2.6875,16
-0tgMGl7D9B10YjSN2ujLA,2016,3.2857142857142856,21
-0tgMGl7D9B10YjSN2ujLA,2017,3.6,15
-0tgMGl7D9B10YjSN2ujLA,2018,3.0833333333333335,12
-1UMR00eXtwaeh59pEiDjA,2014,3.764705882352941,51
-1UMR00eXtwaeh59pEiDjA,2015,3.80327868852459,61
-1UMR00eXtwaeh59pEiDjA,2016,3.3523809523809525,105
-1UMR00eXtwaeh59pEiDjA,2017,3.1260504201680672,119
-1UMR00eXtwaeh59pEiDjA,2018,2.8658536585365852,82
-1VaIJza42Hjev6ukacCNg,2008,2.6666666666666665,3
-1VaIJza42Hjev6ukacCNg,2009,4.0,1
-1VaIJza42Hjev6ukacCNg,2010,4.0,1
-1VaIJza42Hjev6ukacCNg,2011,3.0,2
-1VaIJza42Hjev6ukacCNg,2012,3.3333333333333335,9
-1VaIJza42Hjev6ukacCNg,2013,3.9166666666666665,12
-1VaIJza42Hjev6ukacCNg,2014,3.9393939393939394,33
-1VaIJza42Hjev6ukacCNg,2015,4.051282051282051,39
-1VaIJza42Hjev6ukacCNg,2016,3.707317073170732,41
-1VaIJza42Hjev6ukacCNg,2017,3.902439024390244,41
-1VaIJza42Hjev6ukacCNg,2018,3.710526315789474,38
-2A9emZwBK8zYHPnAmM0hw,2009,2.5,2
-2A9emZwBK8zYHPnAmM0hw,2011,2.0,3
-2A9emZwBK8zYHPnAmM0hw,2012,3.25,4
